App Name,App Folder,Title (chars),Has Title,Has Description,Has Canonical,Has H1,Has Schema,Has OG Tags,Has Lang,Has Robots,Score,Status,Priority
Affirmation,affirmation,47,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Detox Timer,detox-timer,47,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Dream Fortune,dream-fortune,38,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
MBTI Tips,mbti-tips,16,✅,✅,✅,✅,⚠️,✅,✅,✅,7/8,GOOD,Medium - Expand title
White Noise,white-noise,42,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
D-Day Counter,dday-counter,42,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
HSP Test,hsp-test,33,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Brain Type,brain-type,Unknown,⚠️,✅,✅,✅,✅,✅,✅,❌,7/8,GOOD,High - Add title tag fallback + robots
Emotion Temp,emotion-temp,39,✅,✅,✅,✅,✅,✅,✅,❌,7/8,GOOD,Low - Add robots meta
Tax Refund,tax-refund-preview,43,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Quiz App,quiz-app,50,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Dev Quiz,dev-quiz,54,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
K-POP Position,kpop-position,41,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Valentine,valentine,54,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Idle Clicker,idle-clicker,45,✅,✅,✅,✅,⚠️,✅,✅,✅,7/8,GOOD,Low - Update schema type
Shopping Calc,shopping-calc,51,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Unit Converter,unit-converter,44,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Portal,portal,60,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Root Domain,root-domain,41,✅,✅,✅,✅,✅,✅,✅,✅,8/8,EXCELLENT,None
Color Memory,color-memory,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Number Puzzle,number-puzzle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Stack Tower,stack-tower,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Sky Runner,sky-runner,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Emoji Merge,emoji-merge,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Zigzag Runner,zigzag-runner,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Love Frequency,love-frequency,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Past Life,past-life,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Reaction Test,reaction-test,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Reaction Test,reaction-test,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
Unknown App,unknown,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PENDING,Pending
